1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
1444.wav|di mame dreht sich, leuft ahin un aher un kukt di schnur mit di tocher in di eugen arein, wi si wolt mur hoben: weiss ich?|di mame dreht sich, leuft ahin un aher un kukt di schnur mit di tocher in di eugen arein, wi si wolt mur hoben: weiss ich?
1445.wav|gut aseu?|gut aseu?
1446.wav|woss sol men di chlh ontun?|woss sol men di chlh ontun?
1447.wav|fregt di mame.|fregt di mame.
1448.wav|weiss ich?|weiss ich?
1449.wav|sol si sogen, warft hindele mit an eun zu ith'len.|sol si sogen, warft hindele mit an eun zu ith'len.
1450.wav|sog ihr, as si sol sich ferdrehen ihr kop befehlt ith'le di mame.|sog ihr, as si sol sich ferdrehen ihr kop befehlt ith'le di mame.
1451.wav|di mame heubt sich euf fun di kasstenss in welche si akm di kleider ein un ferlegt di hend bei di bokess:|di mame heubt sich euf fun di kasstenss in welche si akm di kleider ein un ferlegt di hend bei di bokess:
1452.wav|aha, ich mach doch scheun pietsche a stikel schmchh!|aha, ich mach doch scheun pietsche a stikel schmchh!
1453.wav|a frchmrgsch ht men di frhr gespant.|a frchmrgsch ht men di frhr gespant.
1454.wav|is derf gefhrien, is,welchen ess hben geslt sein di tnim is miten weg.|is derf gefhrien, is,welchen ess hben geslt sein di tnim is miten weg.
1455.wav|nte h eussgeziert di ferd.|nte h eussgeziert di ferd.
1456.wav|eingemgden sei 'bleue un reute sstengel'er in di flchten hr euf di rieenss.|eingemgden sei 'bleue un reute sstengel'er in di flchten hr euf di rieenss.
1457.wav|aruntdge!bunden di weidlen.|aruntdge!bunden di weidlen.
1458.wav|hinter di schtdt h.t er ahalben beum bgebrchen un arum di fuhr mit bster bepuzt.|hinter di schtdt h.t er ahalben beum bgebrchen un arum di fuhr mit bster bepuzt.
1459.wav|as ess sl sches eusskuken.|as ess sl sches eusskuken.
1460.wav|euf dem er'eten wgen senen gesessen di manssperscheunes.|euf dem er'eten wgen senen gesessen di manssperscheunes.
1461.wav|der r mit ri ichskl'n.|der r mit ri ichskl'n.
1462.wav|eusr un leibil.|eusr un leibil.
1463.wav|r' iz'chk iudel'ss mit r' schmeih's.|r' iz'chk iudel'ss mit r' schmeih's.
1464.wav|an'alter schmsch fun rbi'n.|an'alter schmsch fun rbi'n.
1465.wav|wss trgt dem rbinss ibergegangene kleider.|wss trgt dem rbinss ibergegangene kleider.
1466.wav|nhente un weite krubim.|nhente un weite krubim.
1467.wav|in ssametlit.|in ssametlit.
1468.wav|gereuchert.|gereuchert.
1469.wav|wn chul-h!mued.|wn chul-h!mued.
1470.wav|ssa'me zigaren.|ssa'me zigaren.
1471.wav|euf di andere wegen senen gesessen di weiber mit'n gebekss.|euf di andere wegen senen gesessen di weiber mit'n gebekss.
1472.wav|un.ngreitechtss.|un.ngreitechtss.
1473.wav|bei der blh fun beide seiten hindele 'un ithil:e: beide epess ngeschhun un aselche mini rundige.|bei der blh fun beide seiten hindele 'un ithil:e: beide epess ngeschhun un aselche mini rundige.
1474.wav|kleine kapeluschler.|kleine kapeluschler.
1475.wav|geflchten fun si warte streu un bepuzt mit schwarze krnkess.|geflchten fun si warte streu un bepuzt mit schwarze krnkess.
1476.wav|.areufgesezt euf di spiz kep un aselche mini federn.|.areufgesezt euf di spiz kep un aselche mini federn.
1477.wav|epess glgulim fun amligie farzeitische mdess.|epess glgulim fun amligie farzeitische mdess.
1478.wav|hindele ht di lken fun scheitel eussgefresst un eussgelkt.p warschawsski.|hindele ht di lken fun scheitel eussgefresst un eussgelkt.p warschawsski.
1479.wav|ferwrfen un drei spizen eufn heuchen.|ferwrfen un drei spizen eufn heuchen.
1480.wav|glanzendugen stern.|glanzendugen stern.
1481.wav|mit di gldere 'euringen.|mit di gldere 'euringen.
1482.wav|un heintmdische keitlech mit dn kliess euf dn helser mtnuss fun seier klh-zeit.|un heintmdische keitlech mit dn kliess euf dn helser mtnuss fun seier klh-zeit.
1483.wav|wen men h't sei gchat gefihrt.in miten weg.|wen men h't sei gchat gefihrt.in miten weg.
1484.wav|hben sei snr dermhnt in seier zeit un hben mit di kep zugeschkelt.|hben sei snr dermhnt in seier zeit un hben mit di kep zugeschkelt.
1485.wav|di michussnss'te mlb'lh is gesiessen zwischen di muhmness welche is di bleue sch'bssidige seidene heuben mit di bender is di terkisch'e schalesn segen gesess'en stil: di.|di michussnss'te mlb'lh is gesiessen zwischen di muhmness welche is di bleue sch'bssidige seidene heuben mit di bender is di terkisch'e schalesn segen gesess'en stil: di.
1486.wav|dare ferleigte lipen a'ribedgezeugen iber di nischt zehendige sschssliess un h ben far greuss gdulh a wrt mur gehat eusszureden.|dare ferleigte lipen a'ribedgezeugen iber di nischt zehendige sschssliess un h ben far greuss gdulh a wrt mur gehat eusszureden.
1487.wav|un di mchussnssite mit a fuler sche'rz lekech ht sei iedess ml ferstupt mit epess andersch di meiler.|un di mchussnssite mit a fuler sche'rz lekech ht sei iedess ml ferstupt mit epess andersch di meiler.
1488.wav|un di klh.|un di klh.
1489.wav|di blh alein.|di blh alein.
1490.wav|is sich gesessen zwie n umilen un hindelen.|is sich gesessen zwie n umilen un hindelen.
1491.wav|schin is a heigtmiidischen eapelusch .n di|schin is a heigtmiidischen eapelusch .n di
1492.wav|mep scheun in a keulesch ferlegt, reut-teut un hot nebech nischt gewusst wu di eugen ahintun.|mep scheun in a keulesch ferlegt, reut-teut un hot nebech nischt gewusst wu di eugen ahintun.
1493.wav|hindh'le hot ihr ongesogt, un ongesogt, wi si sol sich fsren nstendik, wi si sol danken, as en wet ihr chssimdgeld geben, un wi si sol entferen di mchussm'te, as men wet si epess fregen, un reh ith'le hot ale mol stechendik zu hih'en di eugen ahingeworfen.|hindh'le hot ihr ongesogt, un ongesogt, wi si sol sich fsren nstendik, wi si sol danken, as en wet ihr chssimdgeld geben, un wi si sol entferen di mchussm'te, as men wet si epess fregen, un reh ith'le hot ale mol stechendik zu hih'en di eugen ahingeworfen.
1494.wav|zu weisen sich fad di mussnim hot men mitgenumen di lowi mer rbi'zen, an alte muhme, a iudene mit an obgegolten kop wi a epss, in a kopke, un a breit kleid mit a spor kschele fun hinten.|zu weisen sich fad di mussnim hot men mitgenumen di lowi mer rbi'zen, an alte muhme, a iudene mit an obgegolten kop wi a epss, in a kopke, un a breit kleid mit a spor kschele fun hinten.
1495.wav|eu weh!|eu weh!
1496.wav|di irene hot getun ohn din.|di irene hot getun ohn din.
1497.wav|kudm-chl hot si ongeumen doss weiberische iudel, woss hot sich euch mitgechapt mit di mhr weiber, zwischen di alte muhmess, doss harz sich zu derchapen un arobgeworfsch ihm fun wogen (far ihr is er noch genug manssperscheun).|kudm-chl hot si ongeumen doss weiberische iudel, woss hot sich euch mitgechapt mit di mhr weiber, zwischen di alte muhmess, doss harz sich zu derchapen un arobgeworfsch ihm fun wogen (far ihr is er noch genug manssperscheun).
1498.wav|dernoch hot si di ganze zeit di chlh in euer epess eingereumt un ongesogt ihr, as do meidel nebech is wi a flam feier reut geworen fr buschh doss weibrische iudel is a spor stikel weg noch ded frd nochgelofen, dernoch, as di lowitscher rbi'zen hot aseu lae geschokelt mit ihr obgegolte gombe bis si is anddimelt geworen, hot er sich fun hinten-euss eufgechapt, areingestekt in wogen arein doss fier-kantine, gekneitste schbh'dige zilinderil un aseu onhaltendik sich in di leissten fun wogen, is er eingedrimelt geworen, un doss zilinderil hot di lowitscher rbi'zen euf aless zugeschokelt.|dernoch hot si di ganze zeit di chlh in euer epess eingereumt un ongesogt ihr, as do meidel nebech is wi a flam feier reut geworen fr buschh doss weibrische iudel is a spor stikel weg noch ded frd nochgelofen, dernoch, as di lowitscher rbi'zen hot aseu lae geschokelt mit ihr obgegolte gombe bis si is anddimelt geworen, hot er sich fun hinten-euss eufgechapt, areingestekt in wogen arein doss fier-kantine, gekneitste schbh'dige zilinderil un aseu onhaltendik sich in di leissten fun wogen, is er eingedrimelt geworen, un doss zilinderil hot di lowitscher rbi'zen euf aless zugeschokelt.
1499.wav|aseu seinen di fuhren ongekumen zufohren zu der kretschme.|aseu seinen di fuhren ongekumen zufohren zu der kretschme.
1500.wav|di ilische kretschme is gestanen zwischen zwei wegen, woss scheiden sich un gehen ob in ferschiedene zwei stedt fun zuri tbernschss, woss in ieder fun sei gefint sich a rbi.|di ilische kretschme is gestanen zwischen zwei wegen, woss scheiden sich un gehen ob in ferschiedene zwei stedt fun zuri tbernschss, woss in ieder fun sei gefint sich a rbi.
1501.wav|chssm mit peklech euf di pleizess, mit di steklech in di hend thir schn sich h, un gehen zwischen di grine greser in di zwei w mes, un schissen sich ariber steiner fun ein weg zum zweiten.|chssm mit peklech euf di pleizess, mit di steklech in di hend thir schn sich h, un gehen zwischen di grine greser in di zwei w mes, un schissen sich ariber steiner fun ein weg zum zweiten.
1502.wav|chi, d woss gehen in di mdinuss, kumen on fun beide seite|chi, d woss gehen in di mdinuss, kumen on fun beide seite
1503.wav|weg fun ferschiedene stedt un stei,gen o'b in kretschme.|weg fun ferschiedene stedt un stei,gen o'b in kretschme.
1504.wav|euf dacht-leger.|euf dacht-leger.
1505.wav|n dem m.r:kt in d.oa begs'under stibel far si i, woss in dem stibel gefinen seich wanzen un ndere kl i ine werimle,ch.|n dem m.r:kt in d.oa begs'under stibel far si i, woss in dem stibel gefinen seich wanzen un ndere kl i ine werimle,ch.
1506.wav|fun f)erschie'dene m)din-uss', dort tre'ft men s id' fun ri issen un snamosch un di urchim der)zehlen meschiuss, woss h.ot s ich mit sei ge—r!ofen is seier w,gdleen.|fun f)erschie'dene m)din-uss', dort tre'ft men s id' fun ri issen un snamosch un di urchim der)zehlen meschiuss, woss h.ot s ich mit sei ge—r!ofen is seier w,gdleen.
1507.wav|di beleie.gluss mit di lnge, gehietei, koltenewte berl, woss seinen bewikssen un fe,rhle.n 'in sich doss ganze.|di beleie.gluss mit di lnge, gehietei, koltenewte berl, woss seinen bewikssen un fe,rhle.n 'in sich doss ganze.
1508.wav|pnim, mit di pipkelech n mu il di woss, seinen i ingechilt in di dike bondess, in di greusse schopenchpel!zen mim di greusse kelner, un fihren di greusse wegen mit kualch..un.|pnim, mit di pipkelech n mu il di woss, seinen i ingechilt in di dike bondess, in di greusse schopenchpel!zen mim di greusse kelner, un fihren di greusse wegen mit kualch..un.
1509.wav|gasft, sstolen un' sschegechis; di we,gen mi t di gru sse schtgal,katsch'en, woss flik'eren sich fohrendik bei nacht un sogen on fun der-.weiten stelen' sich dort! ob in her kret.schme interp)schen.|gasft, sstolen un' sschegechis; di we,gen mi t di gru sse schtgal,katsch'en, woss flik'eren sich fohrendik bei nacht un sogen on fun der-.weiten stelen' sich dort! ob in her kret.schme interp)schen.
1510.wav|dort t.refen sich iuden fun fe,r'schiedene ge.geimden, fun fer'sch iedene mdinuss, un dereehl'en woit ss'tut sich bei s ii in l'gd, woss ess herm sich m!it iuden, un wi ss'ge.ht dort chinu bni ischrl.|dort t.refen sich iuden fun fe,r'schiedene ge.geimden, fun fer'sch iedene mdinuss, un dereehl'en woit ss'tut sich bei s ii in l'gd, woss ess herm sich m!it iuden, un wi ss'ge.ht dort chinu bni ischrl.
1511.wav|'ess is far!nacht.|'ess is far!nacht.
1512.wav|dier himel is zuhkt u if tu iseknder sti.kilech.|dier himel is zuhkt u if tu iseknder sti.kilech.
1513.wav|wi isse flisste,rendige wolken:dlech mit blu ie, h:el!e i nslen schwimen.|wi isse flisste,rendige wolken:dlech mit blu ie, h:el!e i nslen schwimen.
1514.wav|rum .in hele:n' glihekde'n m.|rum .in hele:n' glihekde'n m.
1515.wav|un der im, woss g'erht unter in a ru it gestalt, flisst: ob in merb seit.|un der im, woss g'erht unter in a ru it gestalt, flisst: ob in merb seit.
1516.wav|fia(r der kretschme stehen fuhden, heuche wegen mit beidlech, oggel'oden mit.|fia(r der kretschme stehen fuhden, heuche wegen mit beidlech, oggel'oden mit.
1517.wav|pek sschurh: assch di akssen brechen sich unter di reder.|pek sschurh: assch di akssen brechen sich unter di reder.
1518.wav|iudlech fihren i'ber sscheuh fun i in mdi n.h in der ew'iiter ari in.|iudlech fihren i'ber sscheuh fun i in mdi n.h in der ew'iiter ari in.
1519.wav|di ferdlech seinen eusssgschespmnt, paschen sich un klehren gut arein in der greu'sser korete, welche steht.|di ferdlech seinen eusssgschespmnt, paschen sich un klehren gut arein in der greu'sser korete, welche steht.
1520.wav|far si i, wi sei i wolten geklehrt, fun wnen mchuss zu nehmen di sschuruss iberzubihe,n.|far si i, wi sei i wolten geklehrt, fun wnen mchuss zu nehmen di sschuruss iberzubihe,n.
1521.wav|iuden seinen ein fol(k fun ein got, un -le warten u if i in mschichn, gor iede,m stertil hot: ihr tem, i'hr mi in, bessie-r gesogt, ih,chn'.dil, welchess si gisst ess s,1ss u if ihre i inwohner.|iuden seinen ein fol(k fun ein got, un -le warten u if i in mschichn, gor iede,m stertil hot: ihr tem, i'hr mi in, bessie-r gesogt, ih,chn'.dil, welchess si gisst ess s,1ss u if ihre i inwohner.
1522.wav|ot l'igen cho gil i iche iuhen u issgezu igen un schlofen un wrimen sich in di su,n't leze scha!hlen, un der korssch, woss geht euf fun weg bedekt s'i i gleich zu, un euf di|ot l'igen cho gil i iche iuhen u issgezu igen un schlofen un wrimen sich in di su,n't leze scha!hlen, un der korssch, woss geht euf fun weg bedekt s'i i gleich zu, un euf di
1523.wav|ferdlech, euf dem gespanechtss, euf di wegen, ligt eussgenossen besundere chndlich, schmochtelech fun di ferschiedene stedt.|ferdlech, euf dem gespanechtss, euf di wegen, ligt eussgenossen besundere chndlich, schmochtelech fun di ferschiedene stedt.
1524.wav|euf der schwel fun der kretschme sizt a litwak, epess a modner iud, mit asa hemdel, in a kurzen rok, woss seht doch euss wi a lange kapote in a ukut mit a heuche denge.|euf der schwel fun der kretschme sizt a litwak, epess a modner iud, mit asa hemdel, in a kurzen rok, woss seht doch euss wi a lange kapote in a ukut mit a heuche denge.
1525.wav|ess is a sumer dige hiz un doch trogt er a por tiefe kaloschen, ongekumen fun ganz weit, do obgesteigt eusszuruhen sich un iberzunechtigen un er derzehlt di iuden, woss tut sich ergez-wu ganz weit, het, het in der lite mit achinu bni ischrl.|ess is a sumer dige hiz un doch trogt er a por tiefe kaloschen, ongekumen fun ganz weit, do obgesteigt eusszuruhen sich un iberzunechtigen un er derzehlt di iuden, woss tut sich ergez-wu ganz weit, het, het in der lite mit achinu bni ischrl.
1526.wav|wi achinu bni ischrl leben ob in dchkuss un neut.|wi achinu bni ischrl leben ob in dchkuss un neut.
1527.wav|un asa lmdn smis er, der litwak!|un asa lmdn smis er, der litwak!
1528.wav|redt lschun-kudsch wi a wasser, nor er redt aseu litwisch: woss?|redt lschun-kudsch wi a wasser, nor er redt aseu litwisch: woss?
1529.wav|wu.|wu.
1530.wav|iuden hoben drch-rz far ihm, krechzen: woss den, mir kenen l.|iuden hoben drch-rz far ihm, krechzen: woss den, mir kenen l.
1531.wav|nor in harz gleuben sei ihm epess nischt, a litwk, bald, bald wet er sei obgenaren.|nor in harz gleuben sei ihm epess nischt, a litwk, bald, bald wet er sei obgenaren.
1532.wav|un er redt doch mit sei aseu wei, un seu frum is er, aseu lang gestanen stunh-eschrh bei mnchh, nor geschokelt hot er sich nischt.|un er redt doch mit sei aseu wei, un seu frum is er, aseu lang gestanen stunh-eschrh bei mnchh, nor geschokelt hot er sich nischt.
1533.wav|un wer weiss woss er trogt hinter'n harz.|un wer weiss woss er trogt hinter'n harz.
1534.wav|ess beweist sich pluzlung a wolksen korssch eufgehendik fun beie seiten ussg un legt sich gedicht iber di felder.|ess beweist sich pluzlung a wolksen korssch eufgehendik fun beie seiten ussg un legt sich gedicht iber di felder.
1535.wav|der wolken korssch kum nehenter on, leuft foreuss, bald zureisst er sich euf stikech.|der wolken korssch kum nehenter on, leuft foreuss, bald zureisst er sich euf stikech.
1536.wav|ess hert sich a knalen fun beitschen.|ess hert sich a knalen fun beitschen.
1537.wav|bald ferfohdm msn far er ketschme: fuhren ongestopt mit mchussneim mt ssamet brnwein hit, mchussnss'tess in breite kleider, mit branfen un lekech.|bald ferfohdm msn far er ketschme: fuhren ongestopt mit mchussneim mt ssamet brnwein hit, mchussnss'tess in breite kleider, mit branfen un lekech.
1538.wav|men is arob fun di uggen.|men is arob fun di uggen.
1539.wav|dort euf chssn'ss zd, epess modne iuden, fun an ander mdinh.|dort euf chssn'ss zd, epess modne iuden, fun an ander mdinh.
1540.wav|mit lange un kurze berd.|mit lange un kurze berd.
1541.wav|dort euf seier zd is euch do a heucher, heucher iud, a min r' izchk iudel'ss, mit a schmole, lange bord, un schmole, lange hend, woss stupen ale ob, un er iber schreit ale.|dort euf seier zd is euch do a heucher, heucher iud, a min r' izchk iudel'ss, mit a schmole, lange bord, un schmole, lange hend, woss stupen ale ob, un er iber schreit ale.
